Effect,set,media,pair_id,_set,_media,_pair_id,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,Alpha,Lower,Upper,AdjLower,AdjUpper
set*media*pair_id,set1,2dd,3,set1,3dd,2,-2.4825,18.7602,3823,-0.13,0.8947,Tukey-Kramer,1.0000,0.05,-39.2635,34.2985,-78.1131,73.1481
set*media*pair_id,set1,2dd,3,set1,3dd,3,-1.9642,1.7925,3823,-1.10,0.2732,Tukey-Kramer,1.0000,0.05,-5.4785,1.5501,-9.1904,5.2621
set*media*pair_id,set1,2dd,3,set1,3dd,4,-1.6988,1.8835,3823,-0.90,0.3671,Tukey-Kramer,1.0000,0.05,-5.3916,1.9939,-9.2920,5.8943
set*media*pair_id,set1,2dd,3,set1,3dd,5,0.2857,0.6251,3823,0.46,0.6477,Tukey-Kramer,1.0000,0.05,-0.9399,1.5112,-2.2343,2.8056
set*media*pair_id,set1,2dd,3,set1,3dd,6,-1.3261,1.3506,3823,-0.98,0.3262,Tukey-Kramer,1.0000,0.05,-3.9740,1.3219,-6.7709,4.1187
set*media*pair_id,set1,2dd,3,set1,3dd,7,-1.4737,6.5520,3823,-0.22,0.8220,Tukey-Kramer,1.0000,0.05,-14.3195,11.3720,-27.8878,24.9403
set*media*pair_id,set1,2dd,3,set1,3dd,8,-1.9385,3.9519,3823,-0.49,0.6238,Tukey-Kramer,1.0000,0.05,-9.6866,5.8095,-17.8704,13.9934
set*media*pair_id,set1,2dd,3,set1,3dd,9,-3.6523,3.9519,3823,-0.92,0.3555,Tukey-Kramer,1.0000,0.05,-11.4004,4.0958,-19.5842,12.2796
set*media*pair_id,set1,2dd,3,set1,3dp,1,-1.0316,1.1887,3823,-0.87,0.3855,Tukey-Kramer,1.0000,0.05,-3.3621,1.2989,-5.8237,3.7605
set*media*pair_id,set1,2dd,3,set1,3dp,2,-1.3084,16.1178,3823,-0.08,0.9353,Tukey-Kramer,1.0000,0.05,-32.9087,30.2920,-66.2862,63.6695
set*media*pair_id,set1,2dd,3,set1,3dp,3,-1.7073,3.6905,3823,-0.46,0.6437,Tukey-Kramer,1.0000,0.05,-8.9427,5.5282,-16.5851,13.1706
set*media*pair_id,set1,2dd,3,set1,3dp,4,-0.6976,4.5072,3823,-0.15,0.8770,Tukey-Kramer,1.0000,0.05,-9.5344,8.1392,-18.8683,17.4731
set*media*pair_id,set1,2dd,3,set1,3dp,5,0.1747,0.5140,3823,0.34,0.7339,Tukey-Kramer,1.0000,0.05,-0.8330,1.1825,-1.8974,2.2469
set*media*pair_id,set1,2dd,3,set1,3dp,6,-0.7857,3.5403,3823,-0.22,0.8244,Tukey-Kramer,1.0000,0.05,-7.7266,6.1553,-15.0580,13.4867
set*media*pair_id,set1,2dd,3,set1,3dp,7,-1.0883,9.1924,3823,-0.12,0.9058,Tukey-Kramer,1.0000,0.05,-19.1107,16.9341,-38.1466,35.9701
set*media*pair_id,set1,2dd,3,set1,3dp,8,-0.8811,6.5862,3823,-0.13,0.8936,Tukey-Kramer,1.0000,0.05,-13.7938,12.0316,-27.4328,25.6706
set*media*pair_id,set1,2dd,3,set1,3dp,9,-1.0445,6.5862,3823,-0.16,0.8740,Tukey-Kramer,1.0000,0.05,-13.9572,11.8683,-27.5962,25.5072
set*media*pair_id,set1,2dd,3,set2,2dd,1,-0.6623,0.3968,3823,-1.67,0.0952,Tukey-Kramer,1.0000,0.05,-1.4402,0.1157,-2.2619,0.9374
set*media*pair_id,set1,2dd,3,set2,2dd,2,-0.3032,14.3297,3823,-0.02,0.9831,Tukey-Kramer,1.0000,0.05,-28.3978,27.7914,-58.0725,57.4660
set*media*pair_id,set1,2dd,3,set2,2dd,3,-1.8184,10.0590,3823,-0.18,0.8566,Tukey-Kramer,1.0000,0.05,-21.5399,17.9030,-42.3705,38.7336
set*media*pair_id,set1,2dd,3,set2,2dd,4,-0.7829,0.9083,3823,-0.86,0.3888,Tukey-Kramer,1.0000,0.05,-2.5637,0.9979,-4.4447,2.8789
set*media*pair_id,set1,2dd,3,set2,2dd,5,1.5262,7.2658,3823,0.21,0.8336,Tukey-Kramer,1.0000,0.05,-12.7190,15.7713,-27.7652,30.8176
set*media*pair_id,set1,2dd,3,set2,2dd,6,2.2885,0.9608,3823,2.38,0.0173,Tukey-Kramer,0.9812,0.05,0.4047,4.1723,-1.5851,6.1620
set*media*pair_id,set1,2dd,3,set2,2dd,7,-1.0442,1.7388,3823,-0.60,0.5482,Tukey-Kramer,1.0000,0.05,-4.4532,2.3649,-8.0540,5.9657
set*media*pair_id,set1,2dd,3,set2,2dd,8,-1.5449,0.9608,3823,-1.61,0.1079,Tukey-Kramer,1.0000,0.05,-3.4287,0.3389,-5.4185,2.3286
set*media*pair_id,set1,2dd,3,set2,2dd,9,-1.4852,0.9608,3823,-1.55,0.1222,Tukey-Kramer,1.0000,0.05,-3.3690,0.3986,-5.3588,2.3883
set*media*pair_id,set1,2dd,3,set2,3dd,1,-1.3459,0.6722,3823,-2.00,0.0453,Tukey-Kramer,0.9995,0.05,-2.6637,-0.02802,-4.0557,1.3639
set*media*pair_id,set1,2dd,3,set2,3dd,2,-1.0735,11.4135,3823,-0.09,0.9251,Tukey-Kramer,1.0000,0.05,-23.4507,21.3037,-47.0863,44.9394
set*media*pair_id,set1,2dd,3,set2,3dd,3,-1.6698,7.9404,3823,-0.21,0.8334,Tukey-Kramer,1.0000,0.05,-17.2376,13.8979,-33.6808,30.3412
set*media*pair_id,set1,2dd,3,set2,3dd,4,-2.1605,1.5542,3823,-1.39,0.1646,Tukey-Kramer,1.0000,0.05,-5.2077,0.8867,-8.4263,4.1053
set*media*pair_id,set1,2dd,3,set2,3dd,5,0.4200,4.6982,3823,0.09,0.9288,Tukey-Kramer,1.0000,0.05,-8.7912,9.6312,-18.5204,19.3604
set*media*pair_id,set1,2dd,3,set2,3dd,6,-0.4208,0.4241,3823,-0.99,0.3212,Tukey-Kramer,1.0000,0.05,-1.2523,0.4108,-2.1306,1.2891
set*media*pair_id,set1,2dd,3,set2,3dd,7,-2.1875,2.4110,3823,-0.91,0.3643,Tukey-Kramer,1.0000,0.05,-6.9143,2.5394,-11.9071,7.5322
set*media*pair_id,set1,2dd,3,set2,3dd,8,-1.1931,0.4693,3823,-2.54,0.0110,Tukey-Kramer,0.9467,0.05,-2.1132,-0.2730,-3.0850,0.6988
set*media*pair_id,set1,2dd,3,set2,3dd,9,-1.5405,0.4693,3823,-3.28,0.0010,Tukey-Kramer,0.4195,0.05,-2.4606,-0.6204,-3.4324,0.3514
set*media*pair_id,set1,2dd,3,set2,3dp,1,-0.3750,4.3791,3823,-0.09,0.9318,Tukey-Kramer,1.0000,0.05,-8.9607,8.2107,-18.0292,17.2792
